Time,Unix,Aggregate,Appliance1,Appliance2,Appliance3,Appliance4,Appliance5,Appliance6,Appliance7,Appliance8,Appliance9
2013-10-11 10:19:17,1381486757,596,48,164,0,3,0,103,0,2,0
2013-10-11 10:19:32,1381486772,593,50,159,0,4,0,103,0,2,0
2013-10-11 10:19:46,1381486786,594,51,159,0,4,0,100,0,2,0
2013-10-11 10:20:01,1381486801,601,52,158,0,4,0,103,0,2,0
2013-10-11 10:20:15,1381486815,597,53,158,0,4,0,101,0,2,0
2013-10-11 10:20:18,1381486818,597,53,159,0,4,0,101,0,2,0
2013-10-11 10:20:30,1381486830,597,54,159,0,4,0,101,0,2,0
2013-10-11 10:20:33,1381486833,597,54,158,0,4,0,102,0,2,0
2013-10-11 10:20:44,1381486844,596,54,158,0,4,0,101,0,2,0
2013-10-11 10:20:47,1381486847,596,53,158,0,4,0,101,0,2,0
2013-10-11 10:20:59,1381486859,596,53,154,0,4,0,100,0,2,0
2013-10-11 10:21:02,1381486862,596,53,155,0,4,0,100,0,2,0
2013-10-11 10:21:13,1381486873,594,54,155,0,4,0,101,0,2,0
2013-10-11 10:21:16,1381486876,593,54,155,0,4,0,101,0,2,0
2013-10-11 10:21:17,1381486877,593,54,155,0,4,0,101,0,2,0
2013-10-11 10:21:28,1381486888,601,53,156,0,4,0,102,0,2,0
2013-10-11 10:21:30,1381486890,601,53,156,0,4,0,102,0,2,0
2013-10-11 10:21:31,1381486891,601,53,156,0,4,0,102,0,2,0
2013-10-11 10:21:32,1381486892,597,53,156,0,4,0,102,0,2,0
2013-10-11 10:21:45,1381486905,592,53,153,0,4,0,104,0,2,0
2013-10-11 10:21:46,1381486906,592,53,153,0,4,0,100,0,2,0
2013-10-11 10:21:47,1381486907,592,53,153,0,4,0,100,0,2,0
2013-10-11 10:21:59,1381486919,597,53,153,0,4,0,106,0,2,0
2013-10-11 10:22:00,1381486920,597,53,153,0,4,0,106,0,2,0
2013-10-11 10:22:01,1381486921,597,53,153,0,4,0,106,0,2,0
2013-10-11 10:22:14,1381486934,590,53,152,0,4,0,101,0,2,0
2013-10-11 10:22:15,1381486935,590,53,152,0,4,0,101,0,2,0
2013-10-11 10:22:17,1381486937,590,53,152,0,4,0,104,0,2,0
2013-10-11 10:22:18,1381486938,590,53,152,0,4,0,104,0,2,0
2013-10-11 10:22:29,1381486949,593,53,152,0,4,0,101,0,2,0
2013-10-11 10:22:30,1381486950,593,53,152,0,4,0,100,0,2,0
2013-10-11 10:22:32,1381486952,593,53,152,0,4,0,100,0,2,0
2013-10-11 10:22:44,1381486964,594,53,152,0,4,0,100,0,2,0
2013-10-11 10:22:46,1381486966,594,53,152,0,4,0,100,0,2,0
2013-10-11 10:22:59,1381486979,593,52,151,0,4,0,102,0,2,0
2013-10-11 10:23:01,1381486981,593,52,151,0,4,0,114,0,2,0
2013-10-11 10:23:13,1381486993,592,53,150,0,4,0,100,0,2,0
2013-10-11 10:23:15,1381486995,594,53,150,0,4,0,100,0,2,0
2013-10-11 10:23:18,1381486998,594,53,149,0,4,0,100,0,2,0
2013-10-11 10:23:27,1381487007,590,53,149,0,4,0,102,0,2,0
2013-10-11 10:23:28,1381487008,590,53,149,0,4,0,102,0,2,0
2013-10-11 10:23:30,1381487010,590,53,149,0,4,0,102,0,2,0
2013-10-11 10:23:32,1381487012,587,53,149,0,4,0,101,0,2,0
2013-10-11 10:23:44,1381487024,589,52,149,0,4,0,102,0,2,0
2013-10-11 10:23:47,1381487027,589,53,149,0,4,0,102,0,2,0
2013-10-11 10:23:59,1381487039,592,53,149,0,4,0,101,0,2,0
2013-10-11 10:24:01,1381487041,592,53,149,0,4,0,101,0,2,0
2013-10-11 10:24:13,1381487053,591,53,148,0,3,0,102,0,2,0
2013-10-11 10:24:16,1381487056,591,53,148,0,3,0,112,0,2,0
2013-10-11 10:24:17,1381487057,591,53,148,0,3,0,112,0,2,0
2013-10-11 10:24:28,1381487068,591,53,148,0,3,0,104,0,2,0
2013-10-11 10:24:30,1381487070,591,52,148,0,3,0,104,0,2,0
2013-10-11 10:24:32,1381487072,591,52,147,0,3,0,104,0,2,0
2013-10-11 10:24:45,1381487085,584,52,147,0,3,0,101,0,2,0
2013-10-11 10:24:47,1381487087,584,52,147,0,3,0,101,0,2,0
2013-10-11 10:25:00,1381487100,585,52,146,0,3,0,101,0,2,0
2013-10-11 10:25:02,1381487102,585,52,146,0,3,0,101,0,2,0
2013-10-11 10:25:16,1381487116,593,52,145,0,4,0,101,0,2,0
2013-10-11 10:25:18,1381487118,584,52,146,0,4,0,101,0,2,0
2013-10-11 10:25:19,1381487119,584,52,146,0,4,0,101,0,2,0
2013-10-11 10:25:31,1381487131,586,52,145,0,4,0,102,0,2,0
2013-10-11 10:25:32,1381487132,586,52,145,0,3,0,102,0,2,0
2013-10-11 10:25:34,1381487134,582,52,145,0,3,0,102,0,2,0
2013-10-11 10:25:47,1381487147,598,52,146,0,3,0,101,0,2,0
2013-10-11 10:25:48,1381487148,598,52,146,0,3,0,115,0,2,0
2013-10-11 10:26:01,1381487161,585,52,144,0,3,0,101,0,2,0
2013-10-11 10:26:03,1381487163,585,52,144,0,3,0,101,0,2,0
2013-10-11 10:26:16,1381487176,578,52,144,0,3,0,101,0,2,0
2013-10-11 10:26:17,1381487177,578,52,143,0,3,0,101,0,2,0
2013-10-11 10:26:18,1381487178,578,52,143,0,3,0,101,0,2,0
2013-10-11 10:26:31,1381487191,581,51,143,0,3,0,101,0,2,0
2013-10-11 10:26:32,1381487192,581,51,143,0,3,0,101,0,2,0
2013-10-11 10:26:33,1381487193,584,51,143,0,3,0,101,0,2,0
2013-10-11 10:26:46,1381487206,600,52,144,0,3,0,101,0,2,0
2013-10-11 10:26:47,1381487207,600,52,144,0,3,0,101,0,2,0
2013-10-11 10:27:01,1381487221,586,51,143,0,4,0,102,0,2,0
2013-10-11 10:27:02,1381487222,586,51,143,0,4,0,102,0,2,0
2013-10-11 10:27:15,1381487235,586,52,143,0,4,0,101,0,2,0
2013-10-11 10:27:16,1381487236,586,52,143,0,4,0,101,0,2,0
2013-10-11 10:27:17,1381487237,586,52,143,0,4,0,101,0,2,0
2013-10-11 10:27:29,1381487249,581,51,142,0,4,0,101,0,2,0
2013-10-11 10:27:30,1381487250,581,51,142,0,4,0,101,0,2,0
2013-10-11 10:27:31,1381487251,581,51,142,0,4,0,101,0,2,0
2013-10-11 10:27:32,1381487252,581,51,141,0,4,0,101,0,2,0
2013-10-11 10:27:45,1381487265,582,51,142,0,3,0,104,0,2,0
2013-10-11 10:27:46,1381487266,582,51,142,0,3,0,104,0,2,0
2013-10-11 10:28:00,1381487280,580,52,142,0,4,0,101,0,2,0
2013-10-11 10:28:01,1381487281,580,52,142,0,4,0,101,0,2,0
2013-10-11 10:28:14,1381487294,584,51,141,0,4,0,101,0,2,0
2013-10-11 10:28:15,1381487295,581,51,141,0,4,0,101,0,2,0
2013-10-11 10:28:18,1381487298,581,51,141,0,4,0,101,0,2,0
2013-10-11 10:28:28,1381487308,579,51,140,0,4,0,101,0,2,0
2013-10-11 10:28:30,1381487310,579,51,140,0,4,0,101,0,2,0
2013-10-11 10:28:32,1381487312,579,51,140,0,4,0,101,0,2,0
2013-10-11 10:28:44,1381487324,585,51,141,0,4,0,101,0,2,0
2013-10-11 10:28:47,1381487327,581,51,140,0,4,0,101,0,2,0
2013-10-11 10:28:58,1381487338,581,51,139,0,4,0,101,0,2,0
2013-10-11 10:29:01,1381487341,581,51,140,0,4,0,101,0,2,0
2013-10-11 10:29:13,1381487353,578,51,140,0,4,0,101,0,2,0
2013-10-11 10:29:16,1381487356,580,51,140,0,4,0,101,0,2,0
2013-10-11 10:29:18,1381487358,580,51,140,0,4,0,102,0,2,0
